Номер указания,Продукция (ввоз)
ФС-АРэ-7/4197-3,"диких свиней, домашних свиней, спермы домашних свиней, полученных in vivo эмбрионов домашних свиней, продуктов убоя свиней, отходов и навоза от свиней, бывшего в употреблении оборудования для содержания, убоя и разделки, охотничьих трофеев, а также продукции, содержащей свинину, за исключением следующих видов продукции, прошедших обработку по технологии, гарантирующей разрушение вируса АЧС в соответствии с положениями Главы 15.1 Кодекса здоровья наземных животных МЭБ: готовой продукции из свинины"
ФС-АРэ-7/4197-3,"готовой продукции, содержащей в своем составе свинину или"
ФС-АРэ-7/4203-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4203-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4203-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок, подверженных обработке согласно статьям 10.4.2 и 10.4.19 Кодекса здоровья наземных животных МЭБ)"
ФС-АРэ-7/4203-3,"бывшее в употреблении оборудование для содержания, убоя и"
ФС-АРэ-7/4205-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4205-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4205-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок, подверженных обработке согласно статьям 10.4.2 и 10.4.19 Кодекса здоровья наземных животных МЭБ)"
ФС-АРэ-7/4205-3,"бывшее в употреблении оборудование для содержания, убоя и"
ФС-АРэ-7/4204-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4204-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4204-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/4204-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/4223-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4223-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4223-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок, подверженных обработке согласно статьям 10.4.2 и 10.4.19 Кодекса здоровья наземных животных МЭБ)"
ФС-АРэ-7/4223-3,бывшее в употреблении оборудование для содерж
ФС-АРэ-7/4238-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4238-3,"мясо птицы, готовая мясная продукция из птицы и все виды птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4238-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза, кормов и кормовых добавок, подверженных обработке согласно статьям 10.4.2 и 10.4.19 К"
ФС-АРэ-7/4240-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4240-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4240-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/4240-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/4260-3,"инкубационное яйцо, суточные цыплята"
ФС-АРэ-7/4261-3,Инкубационное яйцо и суточные цыплята
ФС-АРэ-7/4262-3,Инкубационное яйцо и суточные цыплята
ФС-АРэ-7/4263-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4263-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4263-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/4263-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/4264-3,инкубационное яйцо и суточные цыплята
ФС-АРэ-7/4289-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4289-3,"мясо птицы, готовая мясная продукция из птицы и все виды птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4289-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза, кормов и кормовых добавок, подверженных обработке согласно статьям 10.4.2 и 10.4.19 К"
ФС-АРэ-7/4305-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4305-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4305-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/4305-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/4319-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4319-3,"мясо птицы, готовая мясная продукция из птицы и все виды птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4319-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза, кормов и кормовых добавок, подверженных обработке согласно статьям 10.4.2 и 10.4.19 К"
ФС-АРэ-7/4323-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4323-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4323-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/4323-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/4341-3,восприимчивые к нодулярному дерматиту животные (в том числе крупный рогатый скот)
ФС-АРэ-7/4341-3,"продукция полученная от восприимчивых к нодулярному дерматиту видов животных (в том числе от крупного рогатого скота), без надлежащей обработки, обеспечивающей разрушение вируса нодулярного дерматита, необработанное кожевенное сырьё, полученное от убоя восприимчивых к нодулярному дерматиту видов животных (в том числе полученное от убойного крупного рогатого скота), генетический материал от восприимчивых к нодулярному дерматиту видов животных (в том числе от крупного"
ФС-АРэ-7/4342-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4342-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров, подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4342-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок, подверженных обработке согласно статьям 10.4.2 и 10.4.19 Кодекса здоровья наземных животных МЭБ)"
ФС-АРэ-7/4342-3,"бывшее в употреблении оборудование для содержания, убоя и"
ФС-АРэ-7/4344-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4344-3,"мясо птицы, готовая мясная продукция из птицы и все виды птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4344-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза, кормов и кормовых добавок, подверженных обработке согласно статьям 10.4.2 и 10.4.19 К"
ФС-АРэ-7/4348-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4348-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4348-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/4348-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/4355-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4355-3,"мясо птицы, готовая мясная продукция из птицы и все виды птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4355-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза, кормов и кормовых добавок, подверженных обработке согласно статьям 10.4.2 и 10.4.19 К"
ФС-АРэ-7/4354-3,"крупного и мелкого рогатого скота, диких, зоопарковых и цирковых животных, восприимчивых к блютангу, верблюдов и других представителей семейства верблюжьих (ламы, альпаки, викуньи), спермы быков, баранов и козлов-производителей, эмбрионов крупного и мелкого рогатого скота, за исключением полученных in vivo в соответствии с положениями главы 4.7. Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4352-3,Инкубационное яйцо и суточные цыплята
ФС-АРэ-7/4363-3,живой птицы и инкубационного яйца
ФС-АРэ-7/4363-3,"мяса птицы и всех видов птицеводческой продукции не прошедших тепловую обработку (не менее 70ºС), за исключением товаров, подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям статьи 10.4.19, 10.4.20,10.4.21, 10.4.22, 10.4.23, 10.4.24, 10.4.25 Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4363-3,"кормов и кормовых добавок для птиц (за исключением кормовых добавок растительного происхождения, химического и микробиологического синтеза), а также бывшего в употреблении оборудования для содержания, убоя и разделки птиц"
ФС-АРэ-7/4374-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4374-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4374-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/4374-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/4381-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4381-3,"мясо птицы, готовая мясная продукция из птицы и все виды птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4381-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза, кормов и кормовых добавок, подверженных обработке согласно статьям 10.4.2 и 10.4.19 К"
ФС-АРэ-7/4395-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4395-3,"мясо птицы, готовая мясная продукция из птицы и все виды птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4395-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза, кормов и кормовых добавок, подверженных обработке согласно статьям 10.4.2 и 10.4.19 К"
ФС-АРэ-7/4420-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4420-3,"мясо птицы, готовая мясная продукция из птицы и все виды птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4420-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза, кормов и кормовых добавок, подверженных обработке согласно статьям 10.4.2 и 10.4.19 К"
ФС-АРэ-7/4422-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4422-3,"мясо птицы, готовая мясная продукция из птицы и все виды птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4422-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза, кормов и кормовых добавок, подверженных обработке согласно статьям 10.4.2 и 10.4.19 К"
ФС-АРэ-7/4429-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4429-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4429-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/4429-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/4437-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4437-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4437-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/4437-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/4438-3,"диких свиней, домашних свиней, спермы домашних свиней, полученных in vivo эмбрионов домашних свиней, продуктов убоя свиней, отходов и навоза от свиней, бывшего в употреблении оборудования для содержания, убоя и разделки, охотничьих трофеев, а также продукции, содержащей свинину, за исключением следующих видов продукции, прошедших обработку по технологии, гарантирующей разрушение вируса АЧС в соответствии с положениями Главы 15.1 Кодекса здоровья наземных животных МЭБ: готовой продукции из свинины"
ФС-АРэ-7/4438-3,"готовой продукции, содержащей в своем составе свинину или"
ФС-АРэ-7/4439-3,восприимчивых к ящуру живых животных
ФС-АРэ-7/4439-3,"генетического материала (за исключением отобранных in vivo, в соответствии с положениями главы 8.8.17 Кодекса МЭБ)"
ФС-АРэ-7/4439-3,"сырого мяса и мясопродукции, не подвергнутой тепловой обработке, гарантирующей разрушение вируса ящура (в соответствии со статьей 8.8.31 кодекса МЭБ). молока и молочной продукции (не подвергнутых тепловой обработке, гарантирующей разрушение вируса ящура (в соответствии со статьей 8.8.35 Кодекса МЭБ)"
ФС-АРэ-7/4439-3,"шерсти, волос, щетины, трофеев, кишечного сырья, шкур и кожи, не обработанных по технологии, гарантирующей разрушен"
ФС-АРэ-7/4440-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4440-3,"мясо птицы, готовая мясная продукция из птицы и все виды птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4440-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза, кормов и кормовых добавок, подверженных обработке согласно статьям 10.4.2 и 10.4.19 К"
ФС-АРэ-7/4454-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4454-3,"мясо птицы, готовая мясная продукция из птицы и все виды птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4454-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза, кормов и кормовых добавок, подверженных обработке согласно статьям 10.4.2 и 10.4.19 К"
ФС-АРэ-7/4455-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4455-3,"мясо птицы,  готовая мясная продукция из птицы и все виды птицеводческой продукции,  содержащей в своем составе продукты переработки птицы, за исключением  товаров подверженных обработке, обеспечивающей разрушение вирусов  гриппа птиц, согласно положениям Кодекса здоровья наземных животных  МЭБ"
ФС-АРэ-7/4455-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых  добавок растительного происхождения, химического и микробиологического  синтеза, кормов и кормовых добавок, подверженных обработке согласно  статьям 10.4.2 и 10"
ФС-АРэ-7/4466-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4466-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4466-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/4466-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/4477-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4477-3,"мясо птицы, готовая мясная продукция из птицы и все виды птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4477-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза, кормов и кормовых добавок, подверженных обработке согласно статьям 10.4.2 и 10.4.19 К"
ФС-АРэ-7/4478-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4478-3,"мясо птицы, готовая мясная продукция из птицы и все виды птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4478-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза, кормов и кормовых добавок, подверженных обработке согласно статьям 10.4.2 и 10.4.19 К"
ФС-АРэ-7/4486-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4486-3,"мясо птицы, готовая мясная продукция из птицы и все виды птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке,  обеспечивающей разрушение вирусов гриппа птиц, согласно  положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4486-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/4486-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/4498-3,"диких свиней, домашних свиней, спермы домашних свиней, полученных in vivo эмбрионов домашних свиней, продуктов убоя свиней, отходов и навоза от свиней, бывшего в употреблении оборудования для содержания, убоя и разделки, охотничьих трофеев, а также продукции, содержащей свинину, за исключением следующих видов продукции, прошедших обработку по технологии, гарантирующей разрушение вируса АЧС в соответствии с положениями Главы 15.1 Кодекса здоровья наземных животных МЭБ: готовой продукции из свинины"
ФС-АРэ-7/4498-3,"готовой продукции, содержащей в своем составе свинину или"
ФС-АРэ-7/4501-3,Инкубационное яйцо и суточные птенцы
ФС-АРэ-7/4519-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4519-3,"мясо птицы, готовая мясная продукция из птицы и все виды птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4519-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза, кормов и кормовых добавок, подверженных обработке согласно статьям 10.4.2 и 10.4.19 К"
ФС-АРэ-7/4522-3,живой птицы и инкубационного яйца
ФС-АРэ-7/4522-3,"мяса птицы и всех видов птицеводческой продукции не прошедших тепловую обработку (не менее 70ºС), за исключением товаров, подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям статьи 10.4.19, 10.4.20,10.4.21, 10.4.22, 10.4.23, 10.4.24, 10.4.25 Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4522-3,"кормов и кормовых добавок для птиц (за исключением кормовых добавок растительного происхождения, химического и микробиологического синтеза), а также бывшего в употреблении оборудования для содержания, убоя и разделки птиц"
ФС-АРэ-7/4530-3,восприимчивых к ящуру живых животных
ФС-АРэ-7/4530-3,"генетического материала (за исключением отобранных in vivo, в соответствии с положениями главы 8.8.17 Кодекса МЭБ)"
ФС-АРэ-7/4530-3,"сырого мяса и мясопродукции, не подвергнутой тепловой обработке, гарантирующей разрушение вируса ящура (в соответствии со статьей 8.8.31 кодекса МЭБ). молока и молочной продукции (не подвергнутых тепловой обработке, гарантирующей разрушение вируса ящура (в соответствии со статьей 8.8.35 Кодекса МЭБ)"
ФС-АРэ-7/4530-3,"шерсти, волос, щетины, трофеев, кишечного сырья, шкур и кожи, не обработанных по технологии, гарантирующей разрушен"
ФС-АРэ-7/4541-3,живой птицы и инкубационного яйца
ФС-АРэ-7/4541-3,"мяса птицы и всех видов птицеводческой продукции не прошедших тепловую обработку (не менее 70ºС), за исключением товаров, подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям статьи 10.4.19, 10.4.20,10.4.21, 10.4.22, 10.4.23, 10.4.24, 10.4.25 Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4541-3,"кормов и кормовых добавок для птиц (за исключением кормовых добавок растительного происхождения, химического и микробиологического синтеза), а также бывшего в употреблении оборудования для содержания, убоя и разделки птиц"
